"TABLA_PUENTE_LINEA_ID","TABLA_PUENTE_ID","ORIGEN_SERVICIO","DESTINO_SERVICIO","SERVICIO","CONCEPTO_MODALIDAD","FORMA_PAGO","CANTIDAD","NO_LINEA","LINEA_ARTICULO","UNIDAD_MEDIDA","REFERENCIA_APLICACION","SUBTOTAL","CODIGO_IVA","TASA_IVA","MONTO_IVA","CODIGO_RETENCION_IVA","TASA_RET_IVA","MONTO_RET_IVA","CODIGO_RETENCION_ISR","TASA_RET_ISR","MONTO_RET_ISR","TOTAL","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN"
2418921,957763,"","","EBUS TTP1","","BBV",1,1,"BOLETOS DE AUTOBUS","","080821294ERT04GTTP1T",1690,"TAS-IVAEXE",0,0,"",0,0,"",0,0,1690,09/08/21,1,09/08/21,1,
2418922,957764,"","","EBUS TTP1","TERCEROS-ER","BBV",1,1,"BOLETOS DE AUTOBUS","","080821294ERT04GTTP1T",1456.9,"TAS-IVAAR16%",16,233.1,"",0,0,"",0,0,1690,09/08/21,1,09/08/21,1,
2418923,957765,"","","EBUS TTP1","","AMX",1,1,"BOLETOS DE AUTOBUS","","08082115ERT44GTTP1T",338,"TAS-IVAEXE",0,0,"",0,0,"",0,0,338,09/08/21,1,09/08/21,1,
2418924,957766,"","","EBUS TTP1","TERCEROS-ER","AMX",1,1,"BOLETOS DE AUTOBUS","","08082115ERT44GTTP1T",291.38,"TAS-IVAAR16%",16,46.62,"",0,0,"",0,0,338,09/08/21,1,09/08/21,1,
2418925,957767,"","","VENTAS MISCELANEAS","VIRGIN","EFE",1,1,"BOLETOS DE AUTOBUS","","08082120ERP1MSERT",86.21,"TAS-IVAAR16%",16,13.79,"",0,0,"",0,0,100,09/08/21,1,09/08/21,1,
2418926,957767,"","","VENTAS MISCELANEAS","EXCESO EQUIPAJE","EFE",1,2,"BOLETOS DE AUTOBUS","","08082120ERP1MSERT",129.31,"TAS-IVAAR16%",16,20.69,"",0,0,"",0,0,150,09/08/21,1,09/08/21,1,
2418927,957767,"","","VENTAS MISCELANEAS","AUDIFONOS PRIMERA CLASE","EFE",1,3,"BOLETOS DE AUTOBUS","","08082120ERP1MSERT",34.48,"TAS-IVAAR16%",16,5.52,"",0,0,"",0,0,40,09/08/21,1,09/08/21,1,
2418928,957767,"","","VENTAS MISCELANEAS","DIFERENCIA POR HO","EFE",1,4,"BOLETOS DE AUTOBUS","","08082120ERP1MSERT",68.98,"TAS-IVAAR16%",16,11.05,"",0,0,"",0,0,80,09/08/21,1,09/08/21,1,
2418929,957767,"","","VENTAS MISCELANEAS","IUSACELL","EFE",1,5,"BOLETOS DE AUTOBUS","","08082120ERP1MSERT",189.64,"TAS-IVAAR16%",16,30.36,"",0,0,"",0,0,220,09/08/21,1,09/08/21,1,
2418930,957767,"","","VENTAS MISCELANEAS","UNEFON","EFE",1,6,"BOLETOS DE AUTOBUS","","08082120ERP1MSERT",17.24,"TAS-IVAAR16%",16,2.76,"",0,0,"",0,0,20,09/08/21,1,09/08/21,1,
2418883,957727,"","","EBUS TTP1","","BBV",1,1,"BOLETOS DE AUTOBUS","","080821115TPP04GTTP1T",63068.29,"TAS-IVAAR16%",16,10090.71,"",0,0,"",0,0,73159,09/08/21,1,09/08/21,1,
2418884,957727,"","","EBUS TTP1","","BBV",1,2,"BOLETOS DE AUTOBUS","","080821115TPP04GTTP1T",-1396.56,"TAS-IVAAR16%",-16,-223.44,"",0,0,"",0,0,-1620,09/08/21,1,09/08/21,1,
2418885,957728,"","","DIRECTO TTP","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","080821113ERT16BTPT",44,"TAS-IVAEXE",0,0,"",0,0,"",0,0,44,09/08/21,1,09/08/21,1,
2418886,957729,"","","DIRECTO TTP","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","080821113ERT16BTPT",37.93,"TAS-IVAAR16%",16,6.07,"",0,0,"",0,0,44,09/08/21,1,09/08/21,1,
2418887,957730,"","","DIRECTO ECONOMICO ER","","BBV",1,1,"BOLETOS DE AUTOBUS","","08082121ERP04SERT",710.36,"TAS-IVAAR16%",16,113.64,"",0,0,"",0,0,824,09/08/21,1,09/08/21,1,
2418888,957731,"","","DIRECTO ECONOMICO","","BBV",1,1,"BOLETOS DE AUTOBUS","","080821156ERP04SERT",1065.54,"TAS-IVAAR16%",16,170.46,"",0,0,"",0,0,1236,09/08/21,1,09/08/21,1,
2418889,957732,"","","DIRECTO ECONOMICO ER","","BBV",1,1,"BOLETOS DE AUTOBUS","","08082123ERP04SERT",1712.96,"TAS-IVAAR16%",16,274.04,"",0,0,"",0,0,1987,09/08/21,1,09/08/21,1,
2418890,957733,"","","DIRECTO ECONOMICO ER","","EFE",1,1,"BOLETOS DE AUTOBUS","","08082121ERP01SERT",2930.2,"TAS-IVAAR16%",16,468.8,"",0,0,"",0,0,3399,09/08/21,1,09/08/21,1,
2418891,957734,"","","DIRECTO ECONOMICO","PUNTO A BORDO","SOC",1,1,"BOLETOS DE AUTOBUS","","08082115ERP16SERT",1453.46,"TAS-IVAAR16%",16,232.54,"",0,0,"",0,0,1686,09/08/21,1,09/08/21,1,
2418892,957735,"","","AEROPUERTO","","AMX",1,1,"BOLETOS DE AUTOBUS","","08082115ERP44AERT",239.66,"TAS-IVAAR16%",16,38.34,"",0,0,"",0,0,278,09/08/21,1,09/08/21,1,
2418893,957736,"","","AEROPUERTO","","EFE",1,1,"BOLETOS DE AUTOBUS","","080821277ERP01AERT",67577.78,"TAS-IVAAR16%",16,10812.22,"",0,0,"",0,0,78390,09/08/21,1,09/08/21,1,
2418894,957736,"","","AEROPUERTO","","EFE",1,2,"BOLETOS DE AUTOBUS","","080821277ERP01AERT",-600,"TAS-IVAAR16%",-16,-96,"",0,0,"",0,0,-696,09/08/21,1,09/08/21,1,
2418895,957737,"","","INTERMEDIO TTP","","BBV",1,1,"BOLETOS DE AUTOBUS","","08082118ERT04ITPT",2577,"TAS-IVAEXE",0,0,"",0,0,"",0,0,2577,09/08/21,1,09/08/21,1,
2418896,957738,"","","INTERMEDIO TTP","TERCEROS-ER","BBV",1,1,"BOLETOS DE AUTOBUS","","08082118ERT04ITPT",2221.56,"TAS-IVAAR16%",16,355.44,"",0,0,"",0,0,2577,09/08/21,1,09/08/21,1,
2418897,957739,"","","INTERMEDIO","","BBV",1,1,"BOLETOS DE AUTOBUS","","08082117ERT04ITPT",1075,"TAS-IVAEXE",0,0,"",0,0,"",0,0,1075,09/08/21,1,09/08/21,1,
2418898,957740,"","","INTERMEDIO","TERCEROS-ER","BBV",1,1,"BOLETOS DE AUTOBUS","","08082117ERT04ITPT",926.74,"TAS-IVAAR16%",16,148.26,"",0,0,"",0,0,1075,09/08/21,1,09/08/21,1,
